Year,Nominal Average Weekly Wages,Real Average Weekly Wages
1750,0.286142885,43.3211769
1751,0.286142885,44.52330617
1752,0.286142885,42.52464772
1753,0.286142885,43.70467394
1754,0.286142885,41.58389524
1755,0.286142885,44.23818644
1756,0.286142885,42.45507338
1757,0.268258955,32.67785821
1758,0.268258955,32.77618677
1759,0.286142885,37.96011496
1760,0.27720092,38.50666113
1761,0.27720092,40.32111114
1762,0.27720092,38.8076142
1763,0.312968781,42.66314346
1764,0.304026816,38.05711343
1765,0.304026816,36.77015789
1766,0.304026816,36.33414811
1767,0.304026816,34.34229499
1768,0.330852711,37.78816726
1769,0.330852711,41.16358092
1770,0.330852711,41.3288965
1771,0.312968781,36.03216788
1772,0.330852711,34.40934854
1773,0.330852711,34.51288722
1774,0.330852711,34.20504183
1775,0.321910746,35.25485304
1776,0.321910746,36.047907
1777,0.321910746,36.19267769
1778,0.321910746,34.80065165
1779,0.330852711,39.08998511
1780,0.330852711,40.46582311
1781,0.330852711,38.87206829
1782,0.339794676,39.10153254
1783,0.330852711,33.99334362
1784,0.321910746,32.87734059
1785,0.339794676,36.14985362
1786,0.348736642,37.10116565
1787,0.339794676,36.36806198
1788,0.339794676,34.96929036
1789,0.339794676,35.42987879
1790,0.348736642,35.71929676
1791,0.348736642,35.75505183
1792,0.348736642,35.22665206
1793,0.357678607,35.14581665
1794,0.366620572,33.44889698
1795,0.384504502,31.43418501
1796,0.393446467,30.23046292
1797,0.402388433,34.35279885
1798,0.420272363,36.68669722
1799,0.420272363,32.6684748
1800,0.438156293,24.9513719
1801,0.438156293,22.33784414
1802,0.438156293,29.0101872
1803,0.438156293,30.82910435
1804,0.438156293,29.87316313
1805,0.527575945,30.95501468
1806,0.581227736,35.67257561
1807,0.590169701,36.92291992
1808,0.590169701,35.70882005
1809,0.590169701,32.55134007
1810,0.590169701,31.54199617
1811,0.608053631,33.46839776
1812,0.608053631,29.56572241
1813,0.616995597,29.26879266
1814,0.616995597,33.52668118
1815,0.581227736,35.36741931
1816,0.581227736,38.61071976
1817,0.581227736,34.01825529
1818,0.581227736,33.91650577
1819,0.55440184,33.18064468
1820,0.55440184,36.58284969
1821,0.55440184,41.57142011
1822,0.55440184,48.05944523
1823,0.55440184,44.99948053
1824,0.55440184,41.43598578
1825,0.55440184,35.2947068
1826,0.55440184,37.34889607
